,country_of_origin,variety,aroma,aftertaste,acidity,body,balance,moisture,specialty
44,Other,Other,8.08,8.0,8.0,7.83,8.08,0.11,Yes
1199,Other,Other,7.0,7.0,7.0,7.0,7.0,0.11,No
250,Other,Other,7.75,7.5,7.58,7.67,7.92,0.09,Yes
314,Brazil,Bourbon,7.67,7.5,7.67,7.67,7.5,0.11,Yes
621,Other,Caturra,7.42,7.5,7.67,7.58,7.5,0.11,Yes
1091,Mexico,Typica,7.25,7.08,7.33,7.33,7.17,0.11,No
1193,Other,Other,7.42,6.75,7.33,7.33,6.92,0.13,No
679,Colombia,Caturra,5.08,7.83,7.75,7.83,8.08,0.11,No
940,Brazil,Bourbon,7.25,7.42,7.17,7.33,7.33,0.0,No
428,Colombia,Caturra,7.83,7.67,7.33,7.67,7.67,0.11,Yes
236,Guatemala,Bourbon,7.58,7.67,8.0,7.75,7.67,0.1,Yes
129,Guatemala,Bourbon,7.75,7.58,8.0,7.92,7.75,0.1,Yes
145,Colombia,Other,7.83,7.58,7.92,7.67,7.83,0.0,Yes
911,Other,Caturra,7.5,7.33,7.33,7.25,7.33,0.11,No
